,line_urn,heat,heat_scaled
4629,urn:cts:greekLit:tlg0011.tlg003.perseus-grc2:7,-8.419871263270569,-3.3297703601341193
23568,urn:cts:greekLit:tlg0006.tlg016.perseus-grc2:669,-8.419594063178868,-3.329660737003277
39010,urn:cts:greekLit:tlg0006.tlg010.perseus-grc2:1548,-8.419449518082757,-3.3296035743743384
20307,urn:cts:greekLit:tlg0011.tlg006.perseus-grc2:40,-8.418732888253635,-3.3293201718507612
42210,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:519,-8.417885389990548,-3.328985015349142
24840,urn:cts:greekLit:tlg0006.tlg009.perseus-grc2:175,-8.415042450632338,-3.3278607303197587
905,urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:923,-8.414421377110713,-3.327615117039091
4635,urn:cts:greekLit:tlg0011.tlg003.perseus-grc2:13,-8.414343298983443,-3.3275842398171207
40589,urn:cts:greekLit:tlg0085.tlg005.perseus-grc2:575,-8.414009576303888,-3.3274522639409887
39019,urn:cts:greekLit:tlg0006.tlg010.perseus-grc2:1557,-8.412941788435383,-3.3270299904543417
22978,urn:cts:greekLit:tlg0006.tlg016.perseus-grc2:72,-8.411039272529813,-3.326277610652564
44416,urn:cts:greekLit:tlg0011.tlg004.perseus-grc2:1053,-8.410380967573708,-3.3260172736162574
6125,urn:cts:greekLit:tlg0006.tlg007.perseus-grc2:130,-8.409582928427438,-3.3257016764993437
26087,urn:cts:greekLit:tlg0006.tlg009.perseus-grc2:1404,-8.408506842600344,-3.3252761214546185
3357,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2:400,-8.408171865515188,-3.325143649504086
39843,urn:cts:greekLit:tlg0085.tlg001.perseus-grc2:753,-8.40740684061457,-3.324841108389241
9158,urn:cts:greekLit:tlg0011.tlg007.perseus-grc2:460,-8.406439063140875,-3.3244583855843004
26097,urn:cts:greekLit:tlg0006.tlg009.perseus-grc2:1414,-8.406384387889224,-3.3244367633971335
32689,urn:cts:greekLit:tlg0006.tlg015.perseus-grc2:1433,-8.406117349784697,-3.324331158983755
30790,urn:cts:greekLit:tlg0006.tlg011.perseus-grc2:921,-8.405896890452754,-3.3242439748777075
3226,urn:cts:greekLit:tlg0006.tlg018.perseus-grc2:271,-8.405698671018646,-3.32416558588863
30953,urn:cts:greekLit:tlg0006.tlg011.perseus-grc2:1085,-8.4052436057361,-3.323985623173955
18328,urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:329,-8.404755123586678,-3.3237924452343237
18272,urn:cts:greekLit:tlg0011.tlg002.perseus-grc2:274,-8.404745618940007,-3.3237886864724873
38627,urn:cts:greekLit:tlg0006.tlg010.perseus-grc2:1178,-8.40405912232844,-3.3235172006031615
37200,urn:cts:greekLit:tlg0006.tlg004.perseus-grc2:865,-8.403765728454989,-3.3234011733869346
7442,urn:cts:greekLit:tlg0006.tlg003.perseus-grc2:165,-8.40317558385244,-3.3231677914331827
38283,urn:cts:greekLit:tlg0006.tlg010.perseus-grc2:836,-8.402173047285935,-3.3227713225989546
30097,urn:cts:greekLit:tlg0006.tlg011.perseus-grc2:232,-8.402122905635762,-3.3227514932957107
42580,urn:cts:greekLit:tlg0006.tlg014.perseus-grc2:888,-8.400769920629058,-3.322216434120557
34604,urn:cts:greekLit:tlg0011.tlg005.perseus-grc2:531,-8.400442295039722,-3.3220868694345325
39088,urn:cts:greekLit:tlg0006.tlg010.perseus-grc2:1622,-8.400435427387395,-3.322084153513534
30838,urn:cts:greekLit:tlg0006.tlg011.perseus-grc2:967,-8.399495726894038,-3.3217125341915343
41321,urn:cts:greekLit:tlg0085.tlg005.perseus-grc2:1321,-8.39592613909825,-3.320300884622478
28034,urn:cts:greekLit:tlg0006.tlg005.perseus-grc2:877,-8.395237488392212,-3.3200285468826527
22190,urn:cts:greekLit:tlg0006.tlg002.perseus-grc2:446,-8.394926638765169,-3.3199056165144536
22688,urn:cts:greekLit:tlg0006.tlg002.perseus-grc2:939,-8.393228227584121,-3.3192339531323016
689,urn:cts:greekLit:tlg0006.tlg013.perseus-grc2:697,-8.392919082013016,-3.3191116966597916
2279,urn:cts:greekLit:tlg0085.tlg002.perseus-grc2:391,-8.391513412924198,-3.3185558027367437
7747,urn:cts:greekLit:tlg0006.tlg003.perseus-grc2:476,-8.391395890300958,-3.3185093265692016
10754,urn:cts:greekLit:tlg0006.tlg008.perseus-grc2:251,-8.391322267217491,-3.318480211164289
